,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300027,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,125.3,126.2,95.5,96.1,29.9,30.1,0.653,2.46,22.9,0.143,0.807,0.525,12.534,12.6,0.674,0.686,1.0,0.199,103.7,103.0,85.83,103.0,0.64
0,0022300028,1610612764,Washington,Wizards,WAS,wizards,240:00,103.1,106.5,124.0,127.7,-20.9,-21.2,0.676,1.79,19.5,0.239,0.625,0.436,14.577,15.1,0.512,0.556,1.0,0.2,96.42,93.5,77.92,93.0,0.42
1,0022300028,1610612752,New York,Knicks,NYK,knicks,240:00,124.0,127.7,103.1,106.5,20.9,21.2,0.578,2.36,19.0,0.375,0.761,0.564,11.364,11.7,0.582,0.601,1.0,0.195,96.42,93.5,77.92,94.0,0.58
0,0022300029,1610612737,Atlanta,Hawks,ATL,hawks,240:00,114.6,117.2,120.8,128.6,-6.2,-11.4,0.6,1.85,17.2,0.38,0.578,0.474,12.846,13.1,0.517,0.568,1.0,0.2,102.76,98.5,82.08,99.0,0.434
1,0022300029,1610612755,Philadelphia,76ers,PHI,sixers,240:00,120.8,128.6,114.6,117.2,6.2,11.4,0.744,1.88,21.4,0.422,0.62,0.526,16.296,17.3,0.563,0.628,1.0,0.194,102.76,98.5,82.08,98.0,0.566
0,0022300030,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,112.2,111.3,103.5,102.0,8.7,9.3,0.5,1.75,16.9,0.19,0.642,0.442,12.469,12.4,0.567,0.592,1.0,0.201,96.42,97.5,81.25,97.0,0.569
1,0022300030,1610612765,Detroit,Pistons,DET,pistons,240:00,103.5,102.0,112.2,111.3,-8.7,-9.3,0.513,1.18,14.9,0.358,0.81,0.558,17.598,17.3,0.478,0.512,1.0,0.201,96.42,97.5,81.25,98.0,0.431
0,0022300031,1610612761,Toronto,Raptors,TOR,raptors,240:00,103.8,106.1,109.1,110.2,-5.3,-4.1,0.69,2.23,21.5,0.196,0.8,0.51,12.851,13.1,0.552,0.564,1.0,0.198,100.06,98.5,82.08,99.0,0.486
1,0022300031,1610612738,Boston,Celtics,BOS,celtics,240:00,109.1,110.2,103.8,106.1,5.3,4.1,0.69,2.64,21.3,0.2,0.804,0.49,11.116,11.2,0.543,0.563,1.0,0.198,100.06,98.5,82.08,98.0,0.514
0,0022300032,1610612759,San Antonio,Spurs,SAS,spurs,240:00,108.0,112.1,122.2,121.7,-14.2,-9.5,0.767,2.2,22.0,0.196,0.909,0.526,13.499,14.0,0.549,0.588,1.0,0.196,108.34,106.5,88.75,107.0,0.46
1,0022300032,1610612758,Sacramento,Kings,SAC,kings,240:00,122.2,121.7,108.0,112.1,14.2,9.5,0.674,2.21,22.1,0.091,0.804,0.474,13.263,13.2,0.647,0.675,1.0,0.199,108.34,106.5,88.75,106.0,0.54
0,0022300033,1610612741,Chicago,Bulls,CHI,bulls,240:00,97.3,100.0,105.0,108.4,-7.7,-8.4,0.543,1.19,15.4,0.213,0.717,0.462,16.051,16.5,0.506,0.547,1.0,0.197,98.9,96.0,80.0,97.0,0.449
1,0022300033,1610612753,Orlando,Magic,ORL,magic,240:00,105.0,108.4,97.3,100.0,7.7,8.4,0.632,1.26,18.2,0.283,0.787,0.538,19.364,20.0,0.551,0.578,1.0,0.194,98.9,96.0,80.0,95.0,0.551
0,0022300034,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,110.3,113.9,106.5,111.1,3.8,2.8,0.717,3.0,23.4,0.176,0.755,0.471,10.553,10.9,0.591,0.591,1.0,0.192,103.76,100.0,83.33,101.0,0.521
